instrumento,mercado,periodo,tipo_calificacion,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,monto,es_oficial
BCP-2032,Bolsa de Santiago,2023-Q1,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,4698585,true
FONDO MUTUO AFP PROVIDA,Bolsa Electrónica,2022-Q3,Mixto,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,8179580,false
CCU,Bolsa de Santiago,2022-Q2,Dividendos,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,1251744,true
BONO ENEX 2027,Bolsa de Santiago,2024-Q1,Intereses,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.075,0.075,3919141,true
PRINCIPAL BONOS,Bolsa Electrónica,2022-Q1,Dividendos,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.07,0.07,0.07,0.07,7887097,true
BONO ENDESA 2029,Bolsa de Santiago,2024-Q1,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,2838433,true
IANSA,Bolsa de Santiago,2021-Q1,Dividendos,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,747557,true
BONO CENCOSUD 2030,Bolsa de Santiago,2024-Q4,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,4303276,true
FONDO MUTUO AFP CUPRUM,Bolsa Electrónica,2023-Q1,Dividendos,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,11138334,true
BCP-2026,Bolsa de Santiago,2021-Q1,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,4675758,true
BCU-2026,Bolsa de Santiago,2021-Q1,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,9537288,true
PRINCIPAL ACCIONES,Bolsa Electrónica,2024-Q3,Ganancia Capital,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.07,0.07,0.07,0.07,5485417,true
BCU-2030,Bolsa de Santiago,2024-Q4,Intereses,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.08,0.08,0.08,0.08,8349347,true
BONO FALABELLA 2028,Bolsa de Santiago,2023-Q2,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,6631800,true
BONO ESVAL 2027,Bolsa de Santiago,2021-Q2,Intereses,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.033,0.033,0.033,1326467,true
FONDO MUTUO AFP HABITAT,Bolsa Electrónica,2024-Q2,Mixto,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,5989969,true
FONDO MUTUO AFP HABITAT,Bolsa Electrónica,2021-Q1,Mixto,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,3687055,true
BONO BANCO CHILE 2028,Bolsa de Santiago,2024-Q2,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,1597964,true
BONO BANCO CHILE 2028,Bolsa de Santiago,2023-Q1,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,7805135,true
BONO SQM 2028,Bolsa de Santiago,2023-Q4,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,4888233,true
ENTEL,Bolsa de Santiago,2023-Q1,Dividendos,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.078,0.078,0.078,3924439,true
BANCHILE RENTA FIJA,Bolsa Electrónica,2024-Q1,Dividendos,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.025,0.025,6832147,true
ANDINA-B,Bolsa de Santiago,2024-Q2,Dividendos,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.08,0.08,0.08,0.08,2568072,true
SANTANDER AM ACCIONES,Bolsa Electrónica,2022-Q3,Mixto,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,7840850,true
BONO CENCOSUD 2030,Bolsa de Santiago,2024-Q4,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,1171334,true
BCP-2032,Bolsa de Santiago,2024-Q4,Intereses,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.033,0.033,0.033,5321800,true
SM-CHILE B,Bolsa de Santiago,2024-Q3,Dividendos,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,4808815,true
SANTANDER AM RENTA FIJA,Bolsa Electrónica,2023-Q3,Dividendos,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,9837022,true
BONO ENEX 2027,Bolsa de Santiago,2024-Q3,Intereses,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.07,0.07,0.07,0.07,2172158,true
BCU-2028,Bolsa de Santiago,2024-Q3,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,3137281,true
BANCHILE ACCIONES,Bolsa Electrónica,2024-Q2,Ganancia Capital,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.05,0.05,3026294,false
BANCHILE ACCIONES,Bolsa Electrónica,2023-Q4,Dividendos,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.063,0.063,0.063,6552152,false
FALABELLA,Bolsa de Santiago,2024-Q4,Dividendos,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,2705183,true
PRINCIPAL BONOS,Bolsa Electrónica,2022-Q1,Mixto,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,4116775,false
PRINCIPAL BONOS,Bolsa Electrónica,2024-Q3,Ganancia Capital,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.07,0.07,0.07,0.07,7986030,true
ENEL AMERICAS,Bolsa de Santiago,2022-Q1,Dividendos,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,2674643,true
FONDO MUTUO AFP CUPRUM,Bolsa Electrónica,2024-Q3,Ganancia Capital,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,6154203,false
LTM,Bolsa de Santiago,2023-Q3,Dividendos,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,3426317,true
BCP-2028,Bolsa de Santiago,2021-Q3,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,8117390,true
BONO BANCO CHILE 2028,Bolsa de Santiago,2022-Q4,Intereses,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.075,0.075,6959795,true
BONO ESVAL 2027,Bolsa de Santiago,2023-Q1,Intereses,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.08,0.08,0.08,0.08,3974315,true
BCU-2026,Bolsa de Santiago,2021-Q3,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,5769415,true
BCU-2030,Bolsa de Santiago,2021-Q1,Intereses,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.048,0.048,0.048,8771132,true
BONO BANCO CHILE 2028,Bolsa de Santiago,2022-Q2,Intereses,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.033,0.033,0.033,3208207,true
COPEC,Bolsa de Santiago,2024-Q3,Dividendos,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,799154,true
FONDO MUTUO AFP CAPITAL,Bolsa Electrónica,2023-Q2,Dividendos,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,3654043,false
COPEC,Bolsa de Santiago,2021-Q3,Dividendos,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.033,0.033,0.033,4552461,true
BANCO SANTANDER,Bolsa de Santiago,2022-Q2,Dividendos,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,3373872,true
BCU-2026,Bolsa de Santiago,2023-Q1,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,7209667,true
BANCHILE ACCIONES,Bolsa Electrónica,2023-Q3,Dividendos,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,9957369,false
SECURITY AM BONOS,Bolsa Electrónica,2022-Q3,Dividendos,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,8378164,false
ANDINA-B,Bolsa de Santiago,2022-Q1,Dividendos,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,3862021,true
BONO COPEC 2029,Bolsa de Santiago,2021-Q3,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,3717170,true
BCU-2025,Bolsa de Santiago,2021-Q1,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,4563059,true
ANDINA-B,Bolsa de Santiago,2022-Q2,Dividendos,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.06,0.06,0.06,0.06,4981714,true
RIPLEY,Bolsa de Santiago,2022-Q2,Dividendos,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.05,0.05,1007924,true
BONO SANTANDER 2027,Bolsa de Santiago,2024-Q4,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,5778827,true
BONO ENEX 2027,Bolsa de Santiago,2024-Q4,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,3947849,true
BONO BCI 2029,Bolsa de Santiago,2022-Q2,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,5710788,true
BONO BCI 2029,Bolsa de Santiago,2024-Q1,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,2880983,true
SECURITY,Bolsa de Santiago,2024-Q2,Dividendos,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.063,0.063,0.063,1105478,true
BCP-2031,Bolsa de Santiago,2021-Q3,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,5596482,true
FALABELLA,Bolsa de Santiago,2024-Q4,Dividendos,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,3569350,true
PRINCIPAL BONOS,Bolsa Electrónica,2022-Q1,Dividendos,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.08,0.08,0.08,0.08,6028799,true
BONO SANTANDER 2027,Bolsa de Santiago,2023-Q1,Intereses,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.05,0.05,6994984,true
BCU-2030,Bolsa de Santiago,2022-Q3,Intereses,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.07,0.07,0.07,0.07,2766811,true
RIPLEY,Bolsa de Santiago,2021-Q3,Dividendos,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,699447,true
BONO ENDESA 2029,Bolsa de Santiago,2021-Q1,Intereses,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.048,0.048,0.048,7362108,true
BCU-2025,Bolsa de Santiago,2024-Q1,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,6390540,true
SECURITY AM BONOS,Bolsa Electrónica,2021-Q3,Mixto,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,3464119,true
BANCO DE CHILE,Bolsa de Santiago,2021-Q2,Dividendos,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,4388183,true
BONO CENCOSUD 2030,Bolsa de Santiago,2021-Q2,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,3355363,true
BCI AM BALANCEADO,Bolsa Electrónica,2023-Q1,Ganancia Capital,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,2558972,false
FONDO MUTUO AFP HABITAT,Bolsa Electrónica,2024-Q3,Ganancia Capital,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.05,7738759,false
ENJOY,Bolsa de Santiago,2021-Q1,Dividendos,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,3983176,true
BCU-2028,Bolsa de Santiago,2021-Q1,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,3980737,true
BCP-2032,Bolsa de Santiago,2021-Q1,Intereses,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,6221336,true
VAPORES,Bolsa de Santiago,2023-Q3,Dividendos,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.075,0.075,535374,true
SECURITY AM BONOS,Bolsa Electrónica,2023-Q3,Ganancia Capital,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,2014951,true
BONO BCI 2029,Bolsa de Santiago,2023-Q2,Intereses,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.06,0.06,0.06,0.06,4737205,true
BCP-2028,Bolsa de Santiago,2021-Q2,Intereses,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.07,0.07,0.07,0.07,5794126,true
BONO CENCOSUD 2030,Bolsa de Santiago,2021-Q1,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,4397708,true
FONDO MUTUO AFP CUPRUM,Bolsa Electrónica,2024-Q3,Dividendos,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.075,0.075,3573002,true
BCI AM DEUDA,Bolsa Electrónica,2021-Q2,Mixto,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,5877440,true
BANCHILE RENTA FIJA,Bolsa Electrónica,2024-Q3,Ganancia Capital,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,10315706,true
BCP-2029,Bolsa de Santiago,2023-Q4,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,4147777,true
SECURITY AM BONOS,Bolsa Electrónica,2021-Q3,Dividendos,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,4510910,true
PARAUCO,Bolsa de Santiago,2022-Q4,Dividendos,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,1472619,true
FONDO MUTUO AFP PLANVITAL,Bolsa Electrónica,2023-Q2,Mixto,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,6667064,false
BCI AM DEUDA,Bolsa Electrónica,2021-Q2,Ganancia Capital,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,4576923,false
SANTANDER AM RENTA FIJA,Bolsa Electrónica,2022-Q4,Ganancia Capital,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.08,0.08,0.08,0.08,3323464,true
BCU-2027,Bolsa de Santiago,2024-Q2,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,9646835,true
PARAUCO,Bolsa de Santiago,2024-Q1,Dividendos,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,4452811,true
FONDO MUTUO AFP PROVIDA,Bolsa Electrónica,2021-Q2,Mixto,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.033,0.033,0.033,11585700,false
BONO CMPC 2026,Bolsa de Santiago,2023-Q1,Intereses,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.06,0.06,0.06,0.06,2146642,true
BONO ENDESA 2029,Bolsa de Santiago,2023-Q1,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,6643357,true
ENDESA,Bolsa de Santiago,2023-Q1,Dividendos,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,4683209,true
BONO COLBUN 2028,Bolsa de Santiago,2023-Q3,Intereses,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.025,0.025,7756335,true
BCP-2030,Bolsa de Santiago,2021-Q1,Intereses,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.05,8262312,true
BANCHILE RENTA FIJA,Bolsa Electrónica,2022-Q1,Mixto,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,11997617,false
LARRAIN VIAL ESTRATEGIA,Bolsa Electrónica,2022-Q4,Dividendos,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,3694651,false
BONO BANCO CHILE 2028,Bolsa de Santiago,2023-Q3,Intereses,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.05,1813472,true
BCP-2032,Bolsa de Santiago,2023-Q3,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,6785247,true
BONO ENEX 2027,Bolsa de Santiago,2023-Q2,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,6630528,true
BCP-2032,Bolsa de Santiago,2022-Q3,Intereses,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,2871129,true
BCU-2024,Bolsa de Santiago,2023-Q1,Intereses,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.05,4822384,true
BCP-2032,Bolsa de Santiago,2021-Q2,Intereses,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.07,0.07,0.07,0.07,8763399,true
BONO ENEX 2027,Bolsa de Santiago,2024-Q4,Intereses,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.063,0.063,0.063,5704309,true
BCU-2028,Bolsa de Santiago,2021-Q2,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,7424139,true
MALLPLAZA,Bolsa de Santiago,2022-Q2,Dividendos,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,3383922,true
BANCHILE ACCIONES,Bolsa Electrónica,2024-Q1,Ganancia Capital,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,9707118,false
SANTANDER AM ACCIONES,Bolsa Electrónica,2023-Q3,Mixto,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,10855858,false
BCP-2025,Bolsa de Santiago,2021-Q1,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,7097089,true
BONO FALABELLA 2028,Bolsa de Santiago,2023-Q2,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,6839069,true
FONDO MUTUO AFP PROVIDA,Bolsa Electrónica,2024-Q1,Mixto,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,10238640,false
BCP-2028,Bolsa de Santiago,2022-Q3,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,3455977,true
BCU-2024,Bolsa de Santiago,2021-Q4,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,3435576,true
BONO CMPC 2026,Bolsa de Santiago,2022-Q2,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,3553880,true
CMPC,Bolsa de Santiago,2021-Q4,Dividendos,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,2533584,true
BONO ENEX 2027,Bolsa de Santiago,2021-Q4,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,2855519,true
SANTANDER AM ACCIONES,Bolsa Electrónica,2023-Q3,Dividendos,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,7932944,false
BONO BANCO CHILE 2028,Bolsa de Santiago,2021-Q3,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,4311345,true
BONO COLBUN 2028,Bolsa de Santiago,2022-Q1,Intereses,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.08,0.08,0.08,0.08,3769978,true
BONO COLBUN 2028,Bolsa de Santiago,2021-Q2,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,7785175,true
BANCO SANTANDER,Bolsa de Santiago,2022-Q4,Dividendos,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.063,0.063,0.063,2922608,true
BONO CMPC 2026,Bolsa de Santiago,2022-Q3,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,1203108,true
BANCHILE RENTA FIJA,Bolsa Electrónica,2023-Q3,Mixto,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,6865886,true
BONO SQM 2028,Bolsa de Santiago,2024-Q1,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,3948168,true
BONO ESVAL 2027,Bolsa de Santiago,2021-Q2,Intereses,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.025,0.025,1119246,true
FONDO MUTUO AFP CUPRUM,Bolsa Electrónica,2023-Q1,Mixto,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,10620878,true
PRINCIPAL BONOS,Bolsa Electrónica,2023-Q3,Mixto,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,8446859,false
BTU-2025,Bolsa de Santiago,2021-Q2,Intereses,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.06,0.06,0.06,0.06,5112528,true
SECURITY AM BONOS,Bolsa Electrónica,2024-Q3,Mixto,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,11278884,true
BCP-2028,Bolsa de Santiago,2022-Q4,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,6924864,true
BONO COLBUN 2028,Bolsa de Santiago,2022-Q1,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,5342983,true
SM-CHILE B,Bolsa de Santiago,2021-Q1,Dividendos,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,3149066,true
BCI AM DEUDA,Bolsa Electrónica,2022-Q2,Ganancia Capital,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,6239015,false
FALABELLA,Bolsa de Santiago,2024-Q1,Dividendos,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,1564904,true
BONO ENEX 2027,Bolsa de Santiago,2023-Q4,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,2932959,true
PRINCIPAL BONOS,Bolsa Electrónica,2024-Q1,Dividendos,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,9112552,false
FONDO MUTUO AFP HABITAT,Bolsa Electrónica,2021-Q2,Mixto,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.075,0.075,8476483,false
FONDO MUTUO AFP PLANVITAL,Bolsa Electrónica,2022-Q2,Mixto,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.06,0.06,0.06,0.06,10554687,true
LARRAIN VIAL ESTRATEGIA,Bolsa Electrónica,2022-Q1,Ganancia Capital,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.08,0.08,0.08,0.08,5382670,false
FONDO MUTUO AFP PLANVITAL,Bolsa Electrónica,2022-Q1,Mixto,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.048,0.048,0.048,3871288,true
FALABELLA,Bolsa de Santiago,2021-Q2,Dividendos,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,3596311,true
SANTANDER AM ACCIONES,Bolsa Electrónica,2024-Q4,Dividendos,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.08,0.08,0.08,0.08,2893072,true
BONO ENDESA 2029,Bolsa de Santiago,2024-Q2,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,4722693,true
SANTANDER AM ACCIONES,Bolsa Electrónica,2023-Q3,Dividendos,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,10953796,true
BCU-2027,Bolsa de Santiago,2023-Q1,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,4270394,true
LARRAIN VIAL ESTRATEGIA,Bolsa Electrónica,2023-Q3,Mixto,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.078,0.078,0.078,6427543,true
BESALCO,Bolsa de Santiago,2024-Q4,Dividendos,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,3173393,true
SECURITY AM BONOS,Bolsa Electrónica,2022-Q2,Dividendos,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,11614727,false
BONO COLBUN 2028,Bolsa de Santiago,2024-Q3,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,2714736,true
BONO ENTEL 2027,Bolsa de Santiago,2023-Q1,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,2196713,true
BCU-2030,Bolsa de Santiago,2024-Q3,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,3774142,true
BCU-2028,Bolsa de Santiago,2021-Q4,Intereses,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.07,0.07,0.07,0.07,5948735,true
